headline,inLanguage,datePublished,reviewBody,ratingValue,Company
Helt fantastisk middagsoplevelse på…,da,2018-08-23T12:28:51Z,"Helt fantastisk middagsoplevelse på Jensens Bøfhus ved Skovsøen - utrolig lækker mad, bøffen kunne skæres med ske om nødvendigt! Derudover komplimenterer det glade og imødekommende personale måltidet, som prikken over i'et!
5 stjerner herfra!",5,www.jensens.com
Fin til prisen,da,2018-08-22T11:16:41Z,Ganske fin mad og okay service til prisen.,3,www.jensens.com
God service,da,2018-08-22T11:14:21Z,Ok god service. Bøffen var lidt saltet og salaten var god😊,3,www.jensens.com
Ganske fin til prisen,da,2018-08-22T11:13:58Z,Ganske fin til prisen. Venlig tjener,3,www.jensens.com
Skidt oplevelse,da,2018-08-22T06:25:14Z,"Vi har nu spist hos jer. Reklamens magt, om man vil. Vi tænkte det nok var bedre nu end sidst vi var hos jer.
Det positive. Bøffen var fin mør. 
Satalbaren blev ikke fyldt op, det må også være svært at holde den pæn og fyldt op, når der kommer gæster udefra til take away og fylder den ene plastic beholder efter den anden med salat.  Så bliver der hurtigt tomt og der kommer hurtigt til at flyde med salat rester på selve buffeten og på gulvet.  Jeg bad efter noget tid om at salatbaren blev fyldt op, det gjorde den.  Jeg ved ikke hvordan I rengøres under selve salatbaren, men der ligger en del salatrester som blev børstet ned i hullerne da plastic beholderne blev ombyttet. 
Tænker at I mest ønsker besøg af børne familier. Jeg oplevede meget larm, skrig og skrål. Isbaren var placeret ved salatbaren og der var en vældig trafik af børn. Ikke så meget for at få is, mere for at tømme beholderne med topping. 
Et hyggeligt bord, stod der i retur mailen, da jeg bestilte. Jeg oplevede det mest af alt som et cafeteriet. 
kort sagt, Jensens Bøfhus fik en ny chance, vi kommer ikke igen.",1,www.jensens.com
I fik en chance til ...men desværre…,da,2018-08-21T05:36:46Z,I fik en chance til ...men desværre samme oplevelse. Uoverskuelig menukort.....overstegt eller det modsatte tilberedte kød. Salatbar ok. Dessert ok for dem der kan spise kæmpeportioner. Generelt kedeligt og alt for dyrt i forhold til kvaliteten. Til sidst meget dårlig rengøring af legerum og toilet område. Desværre Jensens Bøfhus odense ....Det må I kunne gøre bedre.,2,www.jensens.com
Var ude at spise med familien,da,2018-08-19T18:34:38Z,"Var ude at spise med familien, bestiller snackkurv til deling, hotwings er kolde indeni, der går 45 min før maden kommer og så er min bøf kold og meget lille, der går så næsten 30 min før den nye bøf kommer, efter jeg har spurgt efter den, den er så 3 gange så stor, med de forkerte pomfritter til.
alle andre der kom efter os har fået deres mad, det simpelthen for ringe med så..
Var så tæt på at gå min vej, overvejer stærkt om det overhovedet er et sted man sætter fødderne igen.",1,www.jensens.com
Værste dag ever på jensens😕 kommer ind…,da,2018-08-19T17:36:53Z,"Værste dag ever på jensens😕 kommer ind med min familie, 4 voksen 2 børn står for der første og venter i 15 min før vi får hjælp, får er bord, bestiller vores mad, hvor vi så venter og der går dælme 45 minutter og vi har ikke fået vores mad hvor jeg så må spørge efter den, vi får at vide der vil gå 10 min. Efter 20 må jeg spørger igen, jamen den er på vej, efter yderlig 10 min kommer det endelig, bare for at vi må sende den ene bøf tilbage, den er kold  inden i. Han går med den, efter 15 min Må vi spørge efter den og den kommer så efter 10 min. Det er simpelthen  for dårligt, jeg har aldrig oplevet noget ligene, og vi plejer ellers nok at kunne lide at være på Jensens... ved virkeligt ikke om vi nogen sinde kommer igen. Hilsen Bettina Fares",1,www.jensens.com
Hangover menu,da,2018-08-19T16:02:36Z,"Hangover menu, 2stk.:(4burgere) Super god burger, lækker bøf med masser af smag.
En dårlig ting er at, de bruger Tomat endeskiverne hvor stilken sidder, i deres burger. Det er på ingen måde i orden. 4 ud af 4 burgere havde dem i..
Ellers var alt over forventning, og vi vil klart købe 'hangover menuen' igen.",4,www.jensens.com
Det værste jeg nogensinde har oplevet,da,2018-08-19T15:45:08Z,Det værste jeg nogensinde har oplevet! Mig og min familie tog på Jensen for at få middagsmad. Vi ventede i Ca 10min for at få et bord. Vi startede med at bestille en snackkurv med lidt forskelligt. Maden var næsten helt kold. Og så ventede vi 45min på at få vores hovedret.  Min bror bestilte en bøf. Da han fik den var den næsten helt kold. Han spurgte om at få en ny. 10 min senere havde han stadig ikke fået hans bøf. De var ikke engang gået igang med at lave den da vi spurgte efter den. 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮😡😡😡😡😡,1,www.jensens.com
Fin service ok mad👍😊,da,2018-08-19T10:54:57Z,Fin service ok mad👍😊,4,www.jensens.com
Dårlig oplevelse,da,2018-08-18T18:04:44Z,"Jeg fik take away, de glemte cremefraiche og dressing, selvom jeg betalte ekstra for det. Kartoflen var sort, benene kunne ikke skæres over med alm kniv uden vold og meget tørre. Synes det var en meget ærgelig oplevelse og alt for dyrt når kvaliteten er så dårlig.",2,www.jensens.com
God mad og god service,da,2018-08-18T12:10:47Z,God mad og god service,5,www.jensens.com
Jeg tager ALDRIG på Jensens Bøfhus i…,da,2018-08-18T09:31:21Z,"Jeg tager ALDRIG på Jensens Bøfhus i Holbæk igen!
Vi var 3 som bestilte en ribeye steak og 1 der bestile en alm. burger. 
Vi sagde tydeligt at baconen i burgeren skulle være helt gennem stegt (næsten sort), og det vi får er næsten rå bacon. Det aller værste var bøfferne. Alle bøfferne skulle være medium-rare stegt. Vi får en bøf som ser kogt/dårlig ud (købet ser gråligt ud), en der er gennem stegt, og en der er fyldt med sener og den er fuldstændig rå! Hvis man kunne vedhæfte billede havde jeg gjort det!!
Hele stedet var rodet og beskidt. Det lå krymmel til softice over det hele ved disken. Det eneste gode ved denne oplevelse er, at vi fik vores penge tilbage for bøfferne, fordi de kører en kampagne der hedder "" God bøf eller gratis"".",1,www.jensens.com
Lækker mad og super service.,da,2018-08-17T19:13:42Z,Lækker mad og super service.,5,www.jensens.com
God mad og sød og smilende betjening,da,2018-08-17T18:01:08Z,"Rigtigt sød og smilende betjening, passende ventetid, perfekt steg bøf, frisk på indbydende salatbar, og lækkert tilbehør, en god oplevelse, og en fin pris. Jeg kommer gerne igen.",5,www.jensens.com
Rigtig gode priser til et lækkert…,da,2018-08-16T21:48:26Z,"Rigtig gode priser til et lækkert måltid. Jeg er studerende, så mad priser er noget der bliver holdt lidt ekstra øje med, men min tur på Jensens bøfhus kostede mig 108 kroner og jeg fik en kanon herrebøf burger + ad lib pommes og en kande vand. SUPER TILFREDS",5,www.jensens.com
Jeg elsker Jensens Bøfhus,da,2018-08-15T20:45:02Z,"Jensens Bøfhus er et skønt spisested, med fine priser og en hyggelig atmosfære.
Servicen især hos Jensens Bøfhus i Waves er i top, trods travlt og mange gæster, er der alligevel stort overblik og venlighed blandt tjenere. Stor ros herfra! Iøvrigt var min bøf perfekt stegt og min lille familie var også yderst tilfreds med deres måltid. Vil klart komme igen en anden gang!",5,www.jensens.com
Fin mad til prisen og rigtig god…,da,2018-08-13T17:34:17Z,Fin mad til prisen og rigtig god betjening.,5,www.jensens.com
"Okay,...here comes trouble.",da,2018-08-13T15:48:30Z,"Okay,...here comes trouble.
Jeg har i 3 omgange for ganske nylig, besøgt Jensens. Det var, til prisen, fantastisk. Holbæk og Esbjerg er i tops. 

Det er jo med nervøse trækninger - og med frygt for evig fordømmelse fra diverse dygtige, seriøse anmeldere, at jeg skriver dette.

For år tilbage rev jeg personalekonsulenter, og chefer, fra både Novo, AP, SAS, TDC, Rigspolitiet og andre dk virksomheder til Jensens kødgryder - det var ifm forskellige rekrutterings projekter i hele dk, vi var på landevejen 4 måneder om året. Og vi var sultne. Dengang hængte jeg min hat på Jensens bøfhus...""vi er råsultne, vil ha salat og alt hvad i kan byde på"".

Jeg vil lige i beskedenhed bemærke, at jeg med flere samarbejdspartnere har smagt El bulli, o mo nim, Rio bravo (stærkt beruset kl 03.),  MacDonalds, restauranten på Royal Horsegard Hotel, en extrem dyr russisk restaurant i London, sandwich/coke i World Trade Center osv osv. Det er jo indlysende, at man ikke skal sammenligne Jensens bøfhus med ovenstående, men....i duer.

Men, Jensens falder rigtigt til vores diæter, af SKAT bestemt, hvorfor får virksomhederne Ikke tilbud, oplysninger fra Jensens løbende?

Okay, første gang i Holbæk for 4 måneder siden var kun til 3 huer, små borde, smådumme servetricer, uoverskueligt menukort. Men, det skal ikke trække ned. Da vi kom igen for blot 1 måned siden var det radikalt ændret.

Tak for mad",5,www.jensens.com
Yderst tilfreds,da,2018-08-12T13:43:35Z,"Dejlig mad, Sød betjening og rimelige priser.",4,www.jensens.com
Hyggelig familie middag,da,2018-08-11T17:08:57Z,"Hyggelig familie middag, god bøf😋og børnene kan lege i legerumet.",4,www.jensens.com
God oplevelse,da,2018-08-11T17:04:21Z,"God mad, venlig og professionel betjening. God aften uden at blive ruineret.",5,www.jensens.com
God familie oplevelse,da,2018-08-11T16:25:15Z,God familie oplevelse,5,www.jensens.com
